
****
h=     0.100000
            x	            y	           yc	            e
 0.0000000000	 1.0000000000	 1.0000000000	 0.00000e+000
 0.1000000000	 1.0100000000	 1.0101793389	 1.79339e-004
 0.2000000000	 1.0411017092	 1.0415390302	 4.37321e-004
 0.3000000000	 1.0947755838	 1.0955571885	 7.81605e-004
 0.4000000000	 1.1728392396	 1.1740611485	 1.22191e-003
 0.5000000000	 1.2774884190	 1.2792586301	 1.77021e-003
 0.6000000000	 1.4113330787	 1.4137740673	 2.44099e-003
 0.7000000000	 1.5774391020	 1.5806906023	 3.25150e-003
 0.8000000000	 1.7793762070	 1.7835983266	 4.22212e-003
 0.9000000000	 2.0212727036	 2.0266494226	 5.37672e-003
 1.0000000000	 2.3078778354	 2.3146209522	 6.74312e-003

****
h=     0.050000
            x	            y	           yc	            e
 0.0000000000	 1.0000000000	 1.0000000000	 0.00000e+000
 0.0500000000	 1.0025000000	 1.0025216199	 2.16199e-005
 0.1000000000	 1.0101313027	 1.0101793389	 4.80362e-005
 0.1500000000	 1.0230476520	 1.0231271112	 7.94592e-005
 0.2000000000	 1.0414229009	 1.0415390302	 1.16129e-004
 0.2500000000	 1.0654518000	 1.0656101186	 1.58319e-004
 0.3000000000	 1.0953508565	 1.0955571885	 2.06332e-004
 0.3500000000	 1.1313592661	 1.1316197754	 2.60509e-004
 0.4000000000	 1.1737399221	 1.1740611485	 3.21226e-004
 0.4500000000	 1.2227805046	 1.2231694018	 3.88897e-004
 0.5000000000	 1.2787946539	 1.2792586301	 4.63976e-004
 0.5500000000	 1.3421232319	 1.3426701922	 5.46960e-004
 0.6000000000	 1.4131356763	 1.4137740673	 6.38391e-004
 0.6500000000	 1.4922314516	 1.4929703093	 7.38858e-004
 0.7000000000	 1.5798416025	 1.5806906023	 8.49000e-004
 0.7500000000	 1.6764304146	 1.6773999249	 9.69510e-004
 0.8000000000	 1.7824971877	 1.7835983266	 1.10114e-003
 0.8500000000	 1.8985781289	 1.8998228240	 1.24470e-003
 0.9000000000	 2.0252483700	 2.0266494226	 1.40105e-003
 0.9500000000	 2.1631241176	 2.1646952706	 1.57115e-003
 1.0000000000	 2.3128649420	 2.3146209522	 1.75601e-003

****
h=     0.025000
            x	            y	           yc	            e
 0.0000000000	 1.0000000000	 1.0000000000	 0.00000e+000
 0.0250000000	 1.0006250000	 1.0006276532	 2.65316e-006
 0.0500000000	 1.0025160173	 1.0025216199	 5.60262e-006
 0.0750000000	 1.0056904536	 1.0056993081	 8.85450e-006
 0.1000000000	 1.0101669236	 1.0101793389	 1.24154e-005
 0.1250000000	 1.0159652762	 1.0159815685	 1.62924e-005
 0.1500000000	 1.0231066183	 1.0231271112	 2.04929e-005
 0.1750000000	 1.0316133385	 1.0316383637	 2.50252e-005
 0.2000000000	 1.0415091327	 1.0415390302	 2.98975e-005
 0.2250000000	 1.0528190296	 1.0528541487	 3.51191e-005
 0.2500000000	 1.0655694192	 1.0656101186	 4.06994e-005
 0.2750000000	 1.0797880804	 1.0798347289	 4.66485e-005
 0.3000000000	 1.0955042115	 1.0955571885	 5.29771e-005
 0.3250000000	 1.1127484603	 1.1128081567	 5.96964e-005
 0.3500000000	 1.1315529574	 1.1316197754	 6.68181e-005
 0.3750000000	 1.1519513484	 1.1520257030	 7.43546e-005
 0.4000000000	 1.1739788295	 1.1740611485	 8.23189e-005
 0.4250000000	 1.1976721833	 1.1977629079	 9.07247e-005
 0.4500000000	 1.2230698159	 1.2231694018	 9.95860e-005
 0.4750000000	 1.2502117958	 1.2503207136	 1.08918e-004
 0.5000000000	 1.2791398945	 1.2792586301	 1.18736e-004
 0.5250000000	 1.3098976272	 1.3100266831	 1.29056e-004
 0.5500000000	 1.3425302968	 1.3426701922	 1.39895e-004
 0.5750000000	 1.3770850380	 1.3772363098	 1.51272e-004
 0.6000000000	 1.4136108635	 1.4137740673	 1.63204e-004
 0.6250000000	 1.4521587121	 1.4523344224	 1.75710e-004
 0.6500000000	 1.4927814976	 1.4929703093	 1.88812e-004
 0.6750000000	 1.5355341602	 1.5357366888	 2.02529e-004
 0.7000000000	 1.5804737195	 1.5806906023	 2.16883e-004
